EN URL,ES URL,page type,status,exists EN,exists ES,HTTP EN,HTTP ES,traffic 12m EN,traffic 12m ES,notes
https://www.fxstreet.com/info/terms-conditions,https://www.fxstreet.es/info/terms-conditions,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/live-video/[slug],https://www.fxstreet.es/live-video/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/macroeconomics/central-banks,https://www.fxstreet.es/macroeconomics/central-banks,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/macroeconomics/central-banks/[slug],https://www.fxstreet.es/macroeconomics/central-banks/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/macroeconomics/economic-indicator/[slug],https://www.fxstreet.es/macroeconomics/economic-indicator/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/markets/commodities,https://www.fxstreet.es/markets/commodities,static,direct match,Sí,Sí,200,200,,,EN: redirect→https://www.fxstreet.com/commodities
https://www.fxstreet.com/markets/commodities/[slug]/gold,https://www.fxstreet.es/markets/commodities/[slug]/gold,dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/markets/commodities/[slug]/oil,https://www.fxstreet.es/markets/commodities/[slug]/oil,dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/markets/equities,https://www.fxstreet.es/markets/equities,static,direct match,Sí,Sí,200,200,,,EN: redirect→https://www.fxstreet.com/equities
https://www.fxstreet.com/news,https://www.fxstreet.es/news,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/news/[slug],https://www.fxstreet.es/news/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/news/feed,https://www.fxstreet.es/news/feed,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/profile,https://www.fxstreet.es/profile,static,direct match,Sí,Sí,200,200,,,EN: redirect→https://www.fxstreet.com/account/login?uriToRedirect=%2Fprofile
https://www.fxstreet.com/rates-charts,https://www.fxstreet.es/rates-charts,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/rates-charts/[slug],https://www.fxstreet.es/rates-charts/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/rates-charts/[slug]/forecast,https://www.fxstreet.es/rates-charts/[slug]/forecast,dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/rates-charts/chart,https://www.fxstreet.es/rates-charts/chart,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/rates-charts/chart-interactive,https://www.fxstreet.es/rates-charts/chart-interactive,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/rates-charts/forecast,https://www.fxstreet.es/rates-charts/forecast,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/rates-charts/indicators,https://www.fxstreet.es/rates-charts/indicators,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/rates-charts/indicators/technical-levels,https://www.fxstreet.es/rates-charts/indicators/technical-levels,static,direct match,Sí,Sí,200,200,,,EN: redirect→https://www.fxstreet.com/rates-charts/indicators
https://www.fxstreet.com/rates-charts/rates,https://www.fxstreet.es/rates-charts/rates,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/rates-charts/rates/crosses/[slug],https://www.fxstreet.es/rates-charts/rates/crosses/[slug],dynamic,direct match,,,,,,,EN: pattern — no live check; ES: pattern — no live check
https://www.fxstreet.com/rates-charts/rates/indices,https://www.fxstreet.es/rates-charts/rates/indices,static,direct match,No,No,404,404,,,EN: Not Found; ES: Not Found; both URLs dead / unreachable
https://www.fxstreet.com/rss,https://www.fxstreet.es/rss,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/search,https://www.fxstreet.es/search,static,direct match,Sí,Sí,200,200,,,
https://www.fxstreet.com/subscriptions,https://www.fxstreet.es/subscriptions,static,direct match,Sí,Sí,200,200,,,EN: redirect→https://www.fxstreet.com/account/login?uriToRedirect=%2Fsubscriptions
https://www.fxstreet.com/t/500,https://www.fxstreet.es/t/500,static,direct match,No,No,404,404,,,EN: Not Found; ES: Not Found; both URLs dead / unreachable
https://www.fxstreet.com/technical-analysis,https://www.fxstreet.es/technical-analysis,static,direct match,Sí,Sí,200,200,,,EN: redirect→https://www.fxstreet.com/rates-charts/indicators
https://www.fxstreet.com/technical-analysis/elliott-wave,https://www.fxstreet.es/technical-analysis/elliott-wave,static,direct match,Sí,Sí,200,200,,,EN: redirect→https://www.fxstreet.com/rates-charts/indicators
https://www.fxstreet.com/technical-analysis/sentiment/risk-appetite,https://www.fxstreet.es/technical-analysis/sentiment/risk-appetite,static,direct match,Sí,Sí,200,200,,,EN: redirect→https://www.fxstreet.com/rates-charts/indicators
https://www.fxstreet.com/technical-analysis/support-resistance,https://www.fxstreet.es/technical-analysis/support-resistance,static,direct match,Sí,Sí,200,200,,,EN: redirect→https://www.fxstreet.com/rates-charts/indicators
https://www.fxstreet.com/technical-analysis/support-resistance/fibonacci,https://www.fxstreet.es/technical-analysis/support-resistance/fibonacci,static,direct match,Sí,Sí,200,200,,,EN: redirect→https://www.fxstreet.com/rates-charts/indicators
https://www.fxstreet.com/transparency-translations,https://www.fxstreet.es/transparency-translations,static,direct match,Sí,Sí,200,200,,,
